hidden_dim,n_layer_enc,n_layer_dec,n_params
128,2,2,8935226
128,2,4,9464378
128,2,6,9993530
128,2,8,10522682
128,2,10,11051834
128,2,12,11580986
128,4,2,9331770
128,4,4,9860922
128,4,6,10390074
128,4,8,10919226
128,4,10,11448378
128,4,12,11977530
128,6,2,9728314
128,6,4,10257466
128,6,6,10786618
128,6,8,11315770
128,6,10,11844922
128,6,12,12374074
128,8,2,10124858
128,8,4,10654010
128,8,6,11183162
128,8,8,11712314
128,8,10,12241466
128,8,12,12770618
128,10,2,10521402
128,10,4,11050554
128,10,6,11579706
128,10,8,12108858
128,10,10,12638010
128,10,12,13167162
128,12,2,10917946
128,12,4,11447098
128,12,6,11976250
128,12,8,12505402
128,12,10,13034554
128,12,12,13563706
256,2,2,19740474
256,2,4,21847354
256,2,6,23954234
256,2,8,26061114
256,2,10,28167994
256,2,12,30274874
256,4,2,21319994
256,4,4,23426874
256,4,6,25533754
256,4,8,27640634
256,4,10,29747514
256,4,12,31854394
256,6,2,22899514
256,6,4,25006394
256,6,6,27113274
256,6,8,29220154
256,6,10,31327034
256,6,12,33433914
256,8,2,24479034
256,8,4,26585914
256,8,6,28692794
256,8,8,30799674
256,8,10,32906554
256,8,12,35013434
256,10,2,26058554
256,10,4,28165434
256,10,6,30272314
256,10,8,32379194
256,10,10,34486074
256,10,12,36592954
256,12,2,27638074
256,12,4,29744954
256,12,6,31851834
256,12,8,33958714
256,12,10,36065594
256,12,12,38172474
512,2,2,47052602
512,2,4,55460666
512,2,6,63868730
512,2,8,72276794
512,2,10,80684858
512,2,12,89092922
512,4,2,53357370
512,4,4,61765434
512,4,6,70173498
512,4,8,78581562
512,4,10,86989626
512,4,12,95397690
512,6,2,59662138
512,6,4,68070202
512,6,6,76478266
512,6,8,84886330
512,6,10,93294394
512,6,12,101702458
512,8,2,65966906
512,8,4,74374970
512,8,6,82783034
512,8,8,91191098
512,8,10,99599162
512,8,12,108007226
512,10,2,72271674
512,10,4,80679738
512,10,6,89087802
512,10,8,97495866
512,10,10,105903930
512,10,12,114311994
512,12,2,78576442
512,12,4,86984506
512,12,6,95392570
512,12,8,103800634
512,12,10,112208698
512,12,12,120616762
768,2,2,81966906
768,2,4,100870458
768,2,6,119774010
768,2,8,138677562
768,2,10,157581114
768,2,12,176484666
768,4,2,96142650
768,4,4,115046202
768,4,6,133949754
768,4,8,152853306
768,4,10,171756858
768,4,12,190660410
768,6,2,110318394
768,6,4,129221946
768,6,6,148125498
768,6,8,167029050
768,6,10,185932602
768,6,12,204836154
768,8,2,124494138
768,8,4,143397690
768,8,6,162301242
768,8,8,181204794
768,8,10,200108346
768,8,12,219011898
768,10,2,138669882
768,10,4,157573434
768,10,6,176476986
768,10,8,195380538
768,10,10,214284090
768,10,12,233187642
768,12,2,152845626
768,12,4,171749178
768,12,6,190652730
768,12,8,209556282
768,12,10,228459834
768,12,12,247363386
